,,0,1,2,3,4
count_of_investments,count,286.0,625.0,437.0,475.0,660.0
count_of_investments,unique,,,,,
count_of_investments,top,,,,,
count_of_investments,freq,,,,,
count_of_investments,mean,7.664335664335664,1.3104,5.848970251716247,7.667368421052632,1.3015151515151515
count_of_investments,std,6.959475737407633,0.4630279384603843,3.813313242069231,5.818899117705906,0.45926391731643706
count_of_investments,min,2.0,1.0,2.0,2.0,1.0
count_of_investments,25%,3.0,1.0,3.0,4.0,1.0
count_of_investments,50%,5.0,1.0,5.0,6.0,1.0
count_of_investments,75%,10.0,2.0,7.0,9.0,2.0
count_of_investments,max,45.0,2.0,25.0,40.0,2.0
sum_of_investments,count,286.0,625.0,437.0,475.0,660.0
sum_of_investments,unique,,,,,
sum_of_investments,top,,,,,
sum_of_investments,freq,,,,,
sum_of_investments,mean,275582.6638811189,56434.533504,197411.0634553776,209223.30602105267,27618.79395454545
sum_of_investments,std,428411.1154930853,121607.08740011351,758418.195740271,313547.0017961789,27520.219922697954
sum_of_investments,min,20000.0,5000.0,15000.0,20000.0,5000.0
sum_of_investments,25%,60000.0,15000.0,55000.0,70000.0,11125.0
sum_of_investments,50%,116125.0,25000.0,85000.0,130000.0,20000.0
sum_of_investments,75%,263750.0,50000.0,155000.0,220000.0,30000.0
sum_of_investments,max,2825000.0,1200000.0,9030481.0,2825000.0,275000.0
users_age,count,286.0,625.0,437.0,475.0,660.0
users_age,unique,,,,,
users_age,top,,,,,
users_age,freq,,,,,
users_age,mean,66.39160839160839,55.6896,38.80091533180778,49.53263157894737,38.90909090909091
users_age,std,7.197012016483165,7.462919274825648,4.430316645823904,4.338096427342844,4.644010853247073
users_age,min,54.0,44.0,24.0,38.0,22.0
users_age,25%,61.0,50.0,36.0,46.0,36.0
users_age,50%,65.0,54.0,39.0,49.0,40.0
users_age,75%,71.0,60.0,42.0,53.0,42.0
users_age,max,87.0,79.0,50.0,61.0,48.0
occupation_normalized,count,286,625,437,475,660
occupation_normalized,unique,17,17,16,16,16
occupation_normalized,top,Financial Professional,Medical Professional,Medical Professional,Science & Engineering,Medical Professional
occupation_normalized,freq,57,112,162,129,233
occupation_normalized,mean,,,,,
occupation_normalized,std,,,,,
occupation_normalized,min,,,,,
occupation_normalized,25%,,,,,
occupation_normalized,50%,,,,,
occupation_normalized,75%,,,,,
occupation_normalized,max,,,,,
investment_objectives,count,286,625,437,475,660
investment_objectives,unique,5,5,4,5,5
investment_objectives,top,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.","Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.","Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.","Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.","Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk."
investment_objectives,freq,130,349,301,273,472
investment_objectives,mean,,,,,
investment_objectives,std,,,,,
investment_objectives,min,,,,,
investment_objectives,25%,,,,,
investment_objectives,50%,,,,,
investment_objectives,75%,,,,,
investment_objectives,max,,,,,
investment_experience,count,286,625,437,475,660
investment_experience,unique,5,5,5,5,5
investment_experience,top,3=extensive,3=extensive,2=moderate,3=extensive,2=moderate
investment_experience,freq,155,294,246,250,361
investment_experience,mean,,,,,
investment_experience,std,,,,,
investment_experience,min,,,,,
investment_experience,25%,,,,,
investment_experience,50%,,,,,
investment_experience,75%,,,,,
investment_experience,max,,,,,
risk_tolerance,count,286,625,437,475,660
risk_tolerance,unique,4,4,4,4,4
risk_tolerance,top,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.
risk_tolerance,freq,179,399,305,286,404
risk_tolerance,mean,,,,,
risk_tolerance,std,,,,,
risk_tolerance,min,,,,,
risk_tolerance,25%,,,,,
risk_tolerance,50%,,,,,
risk_tolerance,75%,,,,,
risk_tolerance,max,,,,,
years_investing_illiquid,count,286,625,437,475,660
years_investing_illiquid,unique,6,6,5,6,6
years_investing_illiquid,top,> 20 years,1 - 5 years,1 - 5 years,1 - 5 years,1 - 5 years
years_investing_illiquid,freq,96,206,281,181,423
years_investing_illiquid,mean,,,,,
years_investing_illiquid,std,,,,,
years_investing_illiquid,min,,,,,
years_investing_illiquid,25%,,,,,
years_investing_illiquid,50%,,,,,
years_investing_illiquid,75%,,,,,
years_investing_illiquid,max,,,,,
marital_status,count,286,625,437,475,660
marital_status,unique,4,4,5,5,5
marital_status,top,Married,Married,Married,Married,Married
marital_status,freq,201,436,306,349,444
marital_status,mean,,,,,
marital_status,std,,,,,
marital_status,min,,,,,
marital_status,25%,,,,,
marital_status,50%,,,,,
marital_status,75%,,,,,
marital_status,max,,,,,
investment_time_horizon,count,286,625,437,475,660
investment_time_horizon,unique,5,5,5,5,5
investment_time_horizon,top,1 – 5 years,1 – 5 years,1 – 5 years,1 – 5 years,1 – 5 years
investment_time_horizon,freq,132,251,219,184,290
investment_time_horizon,mean,,,,,
investment_time_horizon,std,,,,,
investment_time_horizon,min,,,,,
investment_time_horizon,25%,,,,,
investment_time_horizon,50%,,,,,
investment_time_horizon,75%,,,,,
investment_time_horizon,max,,,,,
liquid_net_worth,count,286,625,437,475,660
liquid_net_worth,unique,8,8,8,8,8
liquid_net_worth,top,"$1,000,001 - $2,500,000","$1,000,001 - $2,500,000","$250,001 - $500,000","$1,000,001 - $2,500,000","$100,001 - $250,000"
liquid_net_worth,freq,82,159,138,137,196
liquid_net_worth,mean,,,,,
liquid_net_worth,std,,,,,
liquid_net_worth,min,,,,,
liquid_net_worth,25%,,,,,
liquid_net_worth,50%,,,,,
liquid_net_worth,75%,,,,,
liquid_net_worth,max,,,,,
years_investing_securities,count,286,625,437,475,660
years_investing_securities,unique,6,6,6,6,6
years_investing_securities,top,> 20 years,> 20 years,10 - 15 years,> 20 years,5 - 10 years
years_investing_securities,freq,180,271,128,163,209
years_investing_securities,mean,,,,,
years_investing_securities,std,,,,,
years_investing_securities,min,,,,,
years_investing_securities,25%,,,,,
years_investing_securities,50%,,,,,
years_investing_securities,75%,,,,,
years_investing_securities,max,,,,,
income_information_type,count,286,625,437,475,660
income_information_type,unique,3,3,3,3,3
income_information_type,top,individual,individual,individual,individual,individual
income_information_type,freq,128,286,276,251,360
income_information_type,mean,,,,,
income_information_type,std,,,,,
income_information_type,min,,,,,
income_information_type,25%,,,,,
income_information_type,50%,,,,,
income_information_type,75%,,,,,
income_information_type,max,,,,,
